Date,RaceTime,Track,RaceName,Distance,Dist_Furlongs,Class,Going,PrizeMoney,Runners,Direction,CardNo,Horse,HorseAge,Jockey,JClaim,Trainer,Stall,OfficialRating,Weight_Pounds,Odds,Form,Days,Headgear,Stallion,Dam,HorseType,CD,
"2019-06-20","15:40:00","Ascot","Ribblesdale Stakes (Fillies Group 2)","1m4f ","12","Group 2","Soft","121926","11","Right Handed","10","Sparkle Roll (FR)","3","Murphy, Oisin","0","Gosden, J H M","5","92","126","12.00","5117","36",,"Kingman","Ysoldina (FR)","Filly",,
"2019-06-20","15:40:00","Ascot","Ribblesdale Stakes (Fillies Group 2)","1m4f ","12","Group 2","Soft","121926","11","Right Handed","11","Star Catcher","3","Dettori, L","0","Gosden, J H M","6","98","126","6.50","613","33",,"Sea The Stars (IRE)","Lynnwood Chase (USA)","Filly",,
"2019-06-20","15:55:00","Ripon","Ripon Races Ladies Day Handicap","1m2f ","10","Class 3","Good To Soft","9338","9","Right Handed","1","Ummalnar","4","Tudhope, Daniel","0","Haggas, W J","7","91","134","2.50","11","310",,"Shamardal (USA)","Royal Secrets (IRE)","Filly",,
"2019-06-20","15:55:00","Ripon","Ripon Races Ladies Day Handicap","1m2f ","10","Class 3","Good To Soft","9338","9","Right Handed","2","Borodin (IRE)","4","Mathers, Patrick","0","Fahey, R A","9","90","133","4.50","2013347","20","CkPc","High Chaparral (IRE)","Songbird (IRE)","Gelding",,
"2019-06-20","15:55:00","Ripon","Ripon Races Ladies Day Handicap","1m2f ","10","Class 3","Good To Soft","9338","9","Right Handed","3","Gulf Of Poets","7","Quinn, Josh","7","Easterby, M W","5","89","132","9.00","9964550","68",,"Oasis Dream","Sandglass","Gelding","D",
"2019-06-20","15:55:00","Ripon","Ripon Races Ladies Day Handicap","1m2f ","10","Class 3","Good To Soft","9338","9","Right Handed","4","Mulligatawny (IRE)","6","Sanderson, Benjamin","5","Fell, Roger","3","89","132","10.00","2405411","19","CkPc","Lope De Vega (IRE)","Wild Whim (IRE)","Gelding","CD",
"2019-06-20","15:55:00","Ripon","Ripon Races Ladies Day Handicap","1m2f ","10","Class 3","Good To Soft","9338","9","Right Handed","5","Harbour Breeze (IRE)","4","Lee, G","0","Wadham, Mrs L","1","88","131","7.00","533011","29",,"Le Havre (IRE)","Retiens La Nuit (USA)","Colt","D",
"2019-06-20","15:55:00","Ripon","Ripon Races Ladies Day Handicap","1m2f ","10","Class 3","Good To Soft","9338","9","Right Handed","6","Mutamaded (IRE)","6","Sullivan, James P","0","Carr, Mrs R A","2","83","126","3.50","4866932","5",,"Arcano (IRE)","Sahaayeb (IRE)","Gelding","CD",
"2019-06-20","15:55:00","Ripon","Ripon Races Ladies Day Handicap","1m2f ","10","Class 3","Good To Soft","9338","9","Right Handed","7","Thomas Cranmer (USA)","5","Scott, Rowan","3","Jackson, Miss T","4","78","121","14.00","'0807795","24",,"Hard Spun (USA)","House Of Grace (USA)","Gelding","CD",
"2019-06-20","15:55:00","Ripon","Ripon Races Ladies Day Handicap","1m2f ","10","Class 3","Good To Soft","9338","9","Right Handed","8","Dutch Uncle","7","Davis, Sean","3","Clover, Tom","8","75","118","10.00","1214071","7","CkPc","Dutch Art","Evasive Quality (FR)","Gelding","D",
"2019-06-20","15:55:00","Ripon","Ripon Races Ladies Day Handicap","1m2f ","10","Class 3","Good To Soft","9338","9","Right Handed","9","Kharbetation (IRE)","6","Hardie, Cameron","0","OMeara, D","6","74","117","33.00","5499550","37","CkPc","Dream Ahead (USA)","Annas Rock (IRE)","Gelding","C",
"2019-06-20","16:05:00","Chelmsford City","Strawberry Lipo At The Beauty Centre Fillies Novice Median Auction Stakes","1m2f ","10","Class 4","Standard","6146","10","Left Handed","1","Emerald Fox","4","Cronin, S C","5","Brisland, Robyn","6","0","135","100.00","6","64",,"Foxwedge (AUS)","Roshina (IRE)","Filly",,
"2019-06-20","16:05:00","Chelmsford City","Strawberry Lipo At The Beauty Centre Fillies Novice Median Auction Stakes","1m2f ","10","Class 4","Standard","6146","10","Left Handed","2","Kirstenbosch","3","Muscutt, D","0","Fanshawe, J R","8","0","129","0.91","1","31",,"Mount Nelson","Kassiyra (IRE)","Filly",,
"2019-06-20","16:05:00","Chelmsford City","Strawberry Lipo At The Beauty Centre Fillies Novice Median Auction Stakes","1m2f ","10","Class 4","Standard","6146","10","Left Handed","3","Astral Girl","3","Godwin, Mitch","3","Morrison, H","4","0","123","50.00","'0","14",,"Intello (GER)","Celestial Girl","Filly",,
"2019-06-20","16:05:00","Chelmsford City","Strawberry Lipo At The Beauty Centre Fillies Novice Median Auction Stakes","1m2f ","10","Class 4","Standard","6146","10","Left Handed","4","Cabarita","3","Hornby, Rob","0","Beckett, R M","7","76","123","5.50","9433P","40",,"Leroidesanimaux (BRZ)","Catadupa","Filly",,
"2019-06-20","16:05:00","Chelmsford City","Strawberry Lipo At The Beauty Centre Fillies Novice Median Auction Stakes","1m2f ","10","Class 4","Standard","6146","10","Left Handed","5","Inference","3","Mackay, Nicky","0","Gosden, J H M","2","0","123","2.00","24","35",,"Intello (GER)","Dublino (USA)","Filly",,
"2019-06-20","16:05:00","Chelmsford City","Strawberry Lipo At The Beauty Centre Fillies Novice Median Auction Stakes","1m2f ","10","Class 4","Standard","6146","10","Left Handed","6","Narina (IRE)","3","Jones, Liam","0","Haggas, W J","9","0","123","7.50","52","27",,"Rip Van Winkle (IRE)","Savanna Days (IRE)","Filly",,
"2019-06-20","16:05:00","Chelmsford City","Strawberry Lipo At The Beauty Centre Fillies Novice Median Auction Stakes","1m2f ","10","Class 4","Standard","6146","10","Left Handed","7","Postie","3","Tate, Ryan","0","Eustace, J M P","1","0","123","100.00","90","21","Hood","Medicean","Postage Stampe","Filly",,
"2019-06-20","16:05:00","Chelmsford City","Strawberry Lipo At The Beauty Centre Fillies Novice Median Auction Stakes","1m2f ","10","Class 4","Standard","6146","10","Left Handed","8","Prodigious","3","Steward, Louis","0","Stoute, Sir Michael","5","0","123","11.00","'0","251",,"Intello (GER)","Spacious","Filly",,
"2019-06-20","16:05:00","Chelmsford City","Strawberry Lipo At The Beauty Centre Fillies Novice Median Auction Stakes","1m2f ","10","Class 4","Standard","6146","10","Left Handed","9","Resurrected (IRE)","3","Brock, Danny","0","McBride, P J","3","0","123","150.00","'0","41",,"Clodovil (IRE)","Puca (IRE)","Filly",,
"2019-06-20","16:05:00","Chelmsford City","Strawberry Lipo At The Beauty Centre Fillies Novice Median Auction Stakes","1m2f ","10","Class 4","Standard","6146","10","Left Handed","10","Zappiness (USA)","3","Turner, Hayley","0","Chapple-Hyam, P W","10","0","123","100.00","'05","30",,"Stay Thirsty (USA)","Zappeuse (USA)","Filly",,
"2019-06-20","16:20:00","Ascot","Gold Cup (Group 1)","2m4f ","20","Group 1","Soft","283550","11","Right Handed","1","Called To The Bar (IRE)","5","Guyon, Maxime","0","Brandt, Mme Pia","1","113","128","16.00","none",," TT","Henrythenavigator (USA)","Perfect Hedge","Gelding",,
"2019-06-20","16:20:00","Ascot","Gold Cup (Group 1)","2m4f ","20","Group 1","Soft","283550","11","Right Handed","2","Capri (IRE)","5","OBrien, Donnacha","0","OBrien, A P","7","113","128","20.00","6111453","34",,"Galileo (IRE)","Dialafara (FR)","Horse",,
"2019-06-20","16:20:00","Ascot","Gold Cup (Group 1)","2m4f ","20","Group 1","Soft","283550","11","Right Handed","3","Magic Circle (IRE)","7","Crowley, Jim","0","Williams, Ian","6","114","128","20.00","7150113","42",,"Makfi","Minkova (IRE)","Gelding",,
"2019-06-20","16:20:00","Ascot","Gold Cup (Group 1)","2m4f ","20","Group 1","Soft","283550","11","Right Handed","4","Stradivarius (IRE)","5","Dettori, L","0","Gosden, J H M","2","120","128","1.50","3111111","34",,"Sea The Stars (IRE)","Private Life (FR)","Horse","CD",
"2019-06-20","16:20:00","Ascot","Gold Cup (Group 1)","2m4f ","20","Group 1","Soft","283550","11","Right Handed","5","Thomas Hobson","9","Atzeni, Andrea","0","Mullins, W P","3","112","128","18.00","2726512","243",,"Halling (USA)","La Spezia (IRE)","Gelding","CD",
"2019-06-20","16:20:00","Ascot","Gold Cup (Group 1)","2m4f ","20","Group 1","Soft","283550","11","Right Handed","6","Cross Counter","4","Doyle, James","0","Appleby, Charlie","4","118","127","3.50","1124112","302",,"Teofilo (IRE)","Waitress (USA)","Gelding","C",
"2019-06-20","16:20:00","Ascot","Gold Cup (Group 1)","2m4f ","20","Group 1","Soft","283550","11","Right Handed","7","Cypress Creek (IRE)","4","Heffernan, J A","0","OBrien, A P","11","107","127","100.00","4361659","20","CkPc","Galileo (IRE)","Dialafara (FR)","Colt",,
"2019-06-20","16:20:00","Ascot","Gold Cup (Group 1)","2m4f ","20","Group 1","Soft","283550","11","Right Handed","8","Dee Ex Bee","4","Sousa, Silvestre De","0","Johnston, M","8","115","127","5.00","2272411","28",,"Farhh","Dubai Sunrise (USA)","Colt","C",
"2019-06-20","16:20:00","Ascot","Gold Cup (Group 1)","2m4f ","20","Group 1","Soft","283550","11","Right Handed","9","Flag Of Honour (IRE)","4","Moore, Ryan","0","OBrien, A P","5","117","127","12.00","1114222","25",,"Galileo (IRE)","Hawala (IRE)","Colt",,
"2019-06-20","16:20:00","Ascot","Gold Cup (Group 1)","2m4f ","20","Group 1","Soft","283550","11","Right Handed","10","Master Of Reality (IRE)","4","Lordan, W M","0","OBrien, Joseph Patrick","9","108","127","100.00","5014","34",,"Frankel","LAncresse (IRE)","Gelding",,
"2019-06-20","16:20:00","Ascot","Gold Cup (Group 1)","2m4f ","20","Group 1","Soft","283550","11","Right Handed","11","Raymond Tusk (IRE)","4","Spencer, Jamie","0","Hannon (Jnr), Richard","10","111","127","40.00","2612623","33",,"High Chaparral (IRE)","Dancing Shoes (IRE)","Colt",,
"2019-06-20","16:35:00","Ripon","Quilter Private Client Advisers Ladies Derby Handicap (Lady Amateur Riders)","1m4f ","12","Class 6","Good To Soft","3307","10","Right Handed","1","Nevada","6","Mason, Miss Joanna","0","Gollings, S","8","66","148","2.50","2172223","52","CkPc","Proclamation (IRE)","La Columbina","Gelding",,
"2019-06-20","16:35:00","Ripon","Quilter Private Client Advisers Ladies Derby Handicap (Lady Amateur Riders)","1m4f ","12","Class 6","Good To Soft","3307","10","Right Handed","2","Thorntoun Care","8","Collier, Miss A","5","Tutty, Mrs K J","7","65","147","8.00","3405551","14","CkPc","Rail Link","Thorntoun Piccolo","Gelding","D",
"2019-06-20","16:35:00","Ripon","Quilter Private Client Advisers Ladies Derby Handicap (Lady Amateur Riders)","1m4f ","12","Class 6","Good To Soft","3307","10","Right Handed","3","Be Perfect (USA)","10","Bullock, Miss Emily","5","Carr, Mrs R A","1","63","145","8.00","'0073757","17",,"Street Cry (IRE)","Binya (GER)","Gelding","D",
"2019-06-20","16:35:00","Ripon","Quilter Private Client Advisers Ladies Derby Handicap (Lady Amateur Riders)","1m4f ","12","Class 6","Good To Soft","3307","10","Right Handed","4","Belabour","6","Brisbourne, Becky","0","Frost, Kevin","3","63","145","10.00","8518085","81",,"Bernardini (USA)","Criticism","Gelding","D",
"2019-06-20","16:35:00","Ripon","Quilter Private Client Advisers Ladies Derby Handicap (Lady Amateur Riders)","1m4f ","12","Class 6","Good To Soft","3307","10","Right Handed","5","Iolani (GER)","7","Sayer, Miss E C","0","Sayer, Mrs Dianne","5","63","145","5.00","40P4703","14",,"Sholokhov (IRE)","Imogen (GER)","Gelding",,
"2019-06-20","16:35:00","Ripon","Quilter Private Client Advisers Ladies Derby Handicap (Lady Amateur Riders)","1m4f ","12","Class 6","Good To Soft","3307","10","Right Handed","6","Lucys Law (IRE)","5","McCain, Miss A","0","Tate, T P","9","62","144","18.00","4336736","16",,"Lawman (FR)","Lucy Limelites","Mare",,
"2019-06-20","16:35:00","Ripon","Quilter Private Client Advisers Ladies Derby Handicap (Lady Amateur Riders)","1m4f ","12","Class 6","Good To Soft","3307","10","Right Handed","7","Lafilia (GER)","4","Hampson, Miss B","0","Watson, Archie","2","60","142","8.00","'0595","37","CkPc","Teofilo (IRE)","Labrice (GER)","Filly",,
"2019-06-20","16:35:00","Ripon","Quilter Private Client Advisers Ladies Derby Handicap (Lady Amateur Riders)","1m4f ","12","Class 6","Good To Soft","3307","10","Right Handed","8","Mr Carbonator","4","Waugh, Amie","0","Kirby, P A","6","59","141","6.00","6727342","9",,"Bated Breath","Diamond Lass (IRE)","Gelding",,
"2019-06-20","16:35:00","Ripon","Quilter Private Client Advisers Ladies Derby Handicap (Lady Amateur Riders)","1m4f ","12","Class 6","Good To Soft","3307","10","Right Handed","9","Earthly (USA)","5","Brotherton, Miss S","0","Llewellyn, B J","10","52","134","7.00","3294672","14","CkPc TT","Spring At Last (USA)","Geographic (USA)","Gelding","D",
"2019-06-20","16:35:00","Ripon","Quilter Private Client Advisers Ladies Derby Handicap (Lady Amateur Riders)","1m4f ","12","Class 6","Good To Soft","3307","10","Right Handed","10","Correggio","9",,"0","Hammond, Micky","4","51","133","0.00","4339675","14","CkPc","Bertolini (USA)","Arian Da","Gelding",,
"2019-06-20","16:35:00","Ripon","Quilter Private Client Advisers Ladies Derby Handicap (Lady Amateur Riders)","1m4f ","12","Class 6","Good To Soft","3307","10","Right Handed","11","Graceful Act","11","Smith, Sophie","5","Barr, R E","11","46","128","66.00","6742500","24",,"Royal Applause","Minnina (IRE)","Mare","C",
"2019-06-20","16:45:00","Chelmsford City","Lifehouse Spa Day Fillies Handicap","6f ","6","Class 3","Standard","10350","10","Left Handed","1","Puds","4",,"0","Hughes, Richard","11","90","140","0.00","'0132122","13",,"Bated Breath","Missy Wassie Gal (USA)","Filly","CD",
"2019-06-20","16:45:00","Chelmsford City","Lifehouse Spa Day Fillies Handicap","6f ","6","Class 3","Standard","10350","10","Left Handed","2","Isaan Queen (IRE)","3","Greatrex, Edward","0","Watson, Archie","2","96","139","8.00","1225312","32",,"War Command (USA)","Dundels Spirit (IRE)","Filly","CD",
"2019-06-20","16:45:00","Chelmsford City","Lifehouse Spa Day Fillies Handicap","6f ","6","Class 3","Standard","10350","10","Left Handed","3","Indian Tygress","4","Wood, George","0","Fanshawe, J R","3","85","135","4.00","2161348","40",,"Sepoy (AUS)","Persario","Filly","D",
"2019-06-20","16:45:00","Chelmsford City","Lifehouse Spa Day Fillies Handicap","6f ","6","Class 3","Standard","10350","10","Left Handed","4","Probability (IRE)","3","Doyle, Hollie","0","Watson, Archie","10","89","132","12.00","1311151","26",,"Moohaajim (IRE)","Fine Prospect (IRE)","Filly","CD",
"2019-06-20","16:45:00","Chelmsford City","Lifehouse Spa Day Fillies Handicap","6f ","6","Class 3","Standard","10350","10","Left Handed","5","Furious","3","Hogan, D E","5","Simcock, D M","4","88","131","3.50","5161","17",,"Oasis Dream","Noyelles (IRE)","Filly","CD",
"2019-06-20","16:45:00","Chelmsford City","Lifehouse Spa Day Fillies Handicap","6f ","6","Class 3","Standard","10350","10","Left Handed","6","Restless Rose","4","Muscutt, D","0","Williams, S C","9","80","130","33.00","8132354","38",,"Power","Albany Rose (IRE)","Filly","CD",
"2019-06-20","16:45:00","Chelmsford City","Lifehouse Spa Day Fillies Handicap","6f ","6","Class 3","Standard","10350","10","Left Handed","7","Shimmering Dawn (IRE)","3","Eaves, Tom","0","Tate, James","6","84","127","3.50","54511","34",,"Morpheus","Subtle Shimmer","Filly","CD",
"2019-06-20","16:45:00","Chelmsford City","Lifehouse Spa Day Fillies Handicap","6f ","6","Class 3","Standard","10350","10","Left Handed","8","Lady Of Aran (IRE)","4","Ryan, Rossa","0","Fellowes, Charlie","8","76","126","14.00","42127","61",,"Sir Prancealot (IRE)","Tipperary Boutique (IRE)","Filly",,
"2019-06-20","16:45:00","Chelmsford City","Lifehouse Spa Day Fillies Handicap","6f ","6","Class 3","Standard","10350","10","Left Handed","9","Alhakmah (IRE)","3","Levey, S M","0","Hannon (Jnr), Richard","1","83","126","6.00","22210","26",,"No Nay Never (USA)","Hureya (USA)","Filly","D",
"2019-06-20","16:45:00","Chelmsford City","Lifehouse Spa Day Fillies Handicap","6f ","6","Class 3","Standard","10350","10","Left Handed","10","Accommodate (IRE)","3","ONeill, K T","0","Stoute, Sir Michael","7","81","124","6.50","4410","34",,"Acclamation","Malaspina (IRE)","Filly","C",
"2019-06-20","16:45:00","Chelmsford City","Lifehouse Spa Day Fillies Handicap","6f ","6","Class 3","Standard","10350","10","Left Handed","11","Porcelain Girl (IRE)","3","Turner, Hayley","0","Bell, M L W","5","78","121","50.00","3101003","12",,"Exceed And Excel (AUS)","Dresden Doll (USA)","Filly","D",
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","1","Dark Vision (IRE)","3","Spencer, Jamie","0","Johnston, M","1","105","133","25.00","1116304","28",,"Dream Ahead (USA)","Black Dahlia","Colt",,
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","2","Motafaawit (IRE)","3","Crowley, Jim","0","Hannon (Jnr), Richard","4","103","131","14.00","12311","41",,"Intikhab (USA)","Rayaheen","Gelding","C",
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","3","Turgenev","3","Dettori, L","0","Gosden, J H M","22","102","130","12.00","2117735","35",,"Dubawi (IRE)","Tasaday (USA)","Colt","D",
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","4","Beatboxer (USA)","3","Havlin, Robert","0","Gosden, J H M","27","102","130","22.00","11741","26","Hood TT","Scat Daddy (USA)","Thmoruplathlesupay (USA)","Colt","D",
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","5","Beat Le Bon (FR)","3",,"0","Hannon (Jnr), Richard","9","101","129","0.00","3221841","26",,"Wootton Bassett","Frida La Blonde (FR)","Colt",,
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","6","Dunkirk Harbour (USA)","3","Moore, Ryan","0","OBrien, A P","30","101","129","22.00","'073214","39","Blnk","Declaration Of War (USA)","Goodness Gray (USA)","Colt","D",
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","7","Dunkerron","3","Egan, David","0","King, A","32","100","128","100.00","1426477","26",,"Kuroshio (AUS)","Triple Cee (IRE)","Gelding",,
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","8","Pogo (IRE)","3","Shoemark, Kieran","0","Hills, Charles","26","100","128","25.00","5143361","47",,"Zebedee","Cute","Colt","D",
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","9","Certain Lad","3","Whelan, R P","0","Channon, M R","11","98","126","80.00","1343564","26",,"Clodovil (IRE)","Chelsey Jayne (IRE)","Gelding",,
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","10","Dubai Legacy (USA)","3","Cosgrave, Pat","0","Suroor, Saeed Bin","10","98","126","33.00","10113","26",,"Discreet Cat (USA)","Afsana (USA)","Colt",,
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","11","Numerian (IRE)","3","OBrien, Donnacha","0","OBrien, Joseph Patrick","31","98","126","33.00","'041213","106",,"Holy Roman Emperor (IRE)","Delicate Charm (IRE)","Colt","D",
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","12","Fanaar (IRE)","3","ONeill, Dane","0","Haggas, W J","18","98","126","40.00","2924174","26","Blnk","Dark Angel (IRE)","Inca Trail (USA)","Gelding",,
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","13","Eclipse Storm","3","Maxwell, C D","3","Stack, J A","12","98","126","66.00","13052","45",,"Dream Ahead (USA)","Gentle Breeze (IRE)","Gelding",,
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","14","Glorious Lover (IRE)","3","Mosse, G","0","Walker, Ed","14","98","126","50.00","31225","33",,"Tamayuz","Love Match","Gelding",,
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","15","Hot Team (IRE)","3","McDonald, James","0","Palmer, Hugo","33","97","125","100.00","2421338","12","Vsor","Zoffany (IRE)","Ahd (USA)","Gelding",,
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","16","Masaru","3",,"0","Hannon (Jnr), Richard","23","97","125","0.00","18110","26",,"Lethal Force (IRE)","Spontaneity (IRE)","Colt","D",
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","17","Velorum (IRE)","3","Doyle, James","0","Appleby, Charlie","7","96","124","11.00","211","21",,"Sea The Stars (IRE)","Lilys Angel (IRE)","Colt","D",
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","18","Hero Hero (IRE)","3","Sousa, Silvestre De","0","Balding, A M","25","95","123","12.00","231","26",,"No Nay Never (USA)","Fancy (IRE)","Colt",,
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","19","Dark Jedi (IRE)","3","Marquand, Tom","0","Hills, Charles","19","95","123","66.00","12275","42",,"Kodiac","Whitefall (USA)","Gelding",,
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","20","Awe","3","McEvoy, Kerrin","0","Haggas, W J","5","94","122","16.00","712281","12",,"Bated Breath","On Her Way","Colt",,
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","21","King Ademar (USA)","3","Murphy, Oisin","0","Meade, M","16","93","121","8.00","4222","15","CkPc","Scat Daddy (USA)","Parisian Affair (USA)","Colt",,
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","22","Tulfarris","3","Donohoe, Stephen","0","Fellowes, Charlie","13","93","121","25.00","32","47",,"Zoffany (IRE)","Eurolink Raindance (IRE)","Colt",,
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","23","Biometric","3","Bentley, Harry","0","Beckett, R M","29","92","120","28.00","112","19",,"Bated Breath","Bionic","Colt",,
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","24","Aweedram (IRE)","3","Atzeni, Andrea","0","King, A","20","92","120","12.00","336116","26",,"Mukhadram","Invitee","Gelding","CD",
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","25","Victory Command (IRE)","3","Norton, Francis","0","Johnston, M","3","92","120","50.00","1444834","19",,"War Command (USA)","Aguinaga (IRE)","Colt","C",
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","26","Athmad (IRE)","3",,"0","Meehan, B J","17","91","119","0.00","1670","12",,"Olympic Glory (IRE)","Black Mascara (IRE)","Gelding",,
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","27","Sameem (IRE)","3","McDonald, P J","0","Tate, James","21","91","119","66.00","3211732","21",,"New Approach (IRE)","Ahla Wasahl","Colt",,
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","28","Finoah (IRE)","3","Elliott, Jane","3","Dascombe, Tom","28","91","119","50.00","5139471","12","Vsor","Kodiac","Burstingdalak (IRE)","Gelding",,
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","29","Mordred (IRE)","3","Hansen, Thore","5","Hannon (Jnr), Richard","2","91","119","125.00","9417259","47",,"Camelot","Endure (IRE)","Colt",,
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","30","Davydenko","3","Probert, David","0","Stoute, Sir Michael","15","90","118","10.00","711","17",,"Intello (GER)","Safina","Colt","D",
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","31","Migration (IRE)","3","Watson, Jason","0","Menuisier, David","24","90","118","7.00","85221","35",,"Alhebayeb (IRE)","Caribbean Ace (IRE)","Colt","D",
"2019-06-20","17:00:00","Ascot","Britannia Stakes (Heritage Handicap) (Str)","1m ","8","Class 2","Soft","74700","29","Straight","32","Barristan The Bold","3","Kingscote, Richard","0","Dascombe, Tom","6","90","118","20.00","5141635","26",,"Excelebration (IRE)","Cradle Of Life (IRE)","Gelding",,
"2019-06-20","17:10:00","Ripon","Stray FM Celebrating Ladies Day Handicap","6f ","6","Class 5","Good To Soft","4075","8","Straight","1","Tabaahy","4",,"0","OMeara, D","2","71","135","0.00","5015590","9",,"Kyllachy","Pious","Gelding",,
"2019-06-20","17:10:00","Ripon","Stray FM Celebrating Ladies Day Handicap","6f ","6","Class 5","Good To Soft","4075","8","Straight","2","Mutabaahy (IRE)","4","Hardie, Cameron","0","Brittain, Antony","6","69","133","4.00","9680724","9",,"Oasis Dream","Habaayib","Gelding","D",
"2019-06-20","17:10:00","Ripon","Stray FM Celebrating Ladies Day Handicap","6f ","6","Class 5","Good To Soft","4075","8","Straight","3","Shortbackandsides (IRE)","4","Allan, David","0","Easterby, T D","10","65","129","3.00","8225072","13",,"Fast Company (IRE)","Whatagoodcatch (IRE)","Gelding","CD",
"2019-06-20","17:10:00","Ripon","Stray FM Celebrating Ladies Day Handicap","6f ","6","Class 5","Good To Soft","4075","8","Straight","4","Ninjago","9",,"0","Midgley, P T","4","60","124","0.00","4858081","17","Vsor","Mount Nelson","Fidelios Miracle (USA)","Gelding","D",
"2019-06-20","17:10:00","Ripon","Stray FM Celebrating Ladies Day Handicap","6f ","6","Class 5","Good To Soft","4075","8","Straight","5","Point Of Woods","6","Ralston, Sophie","7","Jackson, Miss T","7","58","122","18.00","5007399","14",,"Showcasing","Romantic Myth","Gelding","CD",
"2019-06-20","17:10:00","Ripon","Stray FM Celebrating Ladies Day Handicap","6f ","6","Class 5","Good To Soft","4075","8","Straight","6","Astrophysics","7","McGovern, C J","3","Siddall, Miss L C","8","57","121","20.00","9217374","22",,"Paco Boy (IRE)","Jodrell Bank (IRE)","Gelding","D",
"2019-06-20","17:10:00","Ripon","Stray FM Celebrating Ladies Day Handicap","6f ","6","Class 5","Good To Soft","4075","8","Straight","7","Danehill Desert (IRE)","4","Davis, Sean","3","Fahey, R A","9","56","120","10.00","2905036","13","CkPc","Clodovil (IRE)","Misplace (IRE)","Gelding",,
